0.00	0.02	-0.02
-0.00	0.02	-0.02
-0.00	0.01	-0.02
-0.00	0.02	-0.02
0.00	0.02	-0.02
0.00	0.01	-0.03
0.01	0.02	-0.02
0.00	0.02	-0.03
0.01	0.02	-0.03
-0.00	0.01	-0.02
0.01	0.01	-0.02
0.01	0.01	-0.02
0.01	0.01	-0.02
0.00	0.01	-0.01
0.00	0.02	-0.01
0.01	0.02	-0.02
0.00	0.01	-0.02
-0.01	0.01	-0.02
0.00	0.02	-0.02
0.00	0.02	-0.02
-0.01	0.02	-0.02
-0.00	0.02	-0.02
0.00	0.01	-0.02
-0.00	0.02	-0.02
0.00	0.01	-0.02
-0.00	0.02	-0.01
0.00	0.01	-0.01
0.01	0.02	-0.03
-0.00	0.02	-0.02
0.01	0.02	-0.02
-0.00	0.01	-0.03
0.00	0.01	-0.02
0.00	0.02	-0.02
0.00	0.01	-0.01
0.00	0.02	-0.02
0.00	0.02	-0.01
0.00	0.01	-0.01
-0.01	0.01	-0.02
-0.00	0.02	-0.03
-0.24	-0.05	-0.12
0.69	0.04	0.16
0.49	-0.09	0.38
0.45	-0.13	0.30
1.00	-0.08	-0.31
0.62	-0.19	0.10
0.07	0.03	-0.26
-0.16	0.19	-0.32
-0.30	-0.16	-0.06
-0.21	0.12	-0.58
0.22	-0.11	-0.18
0.14	-0.19	0.16
0.09	0.12	0.05
0.02	0.10	-0.19
0.10	0.06	0.02
0.15	0.02	-0.08
-0.12	0.21	-0.20
0.14	-0.12	-0.02
-0.21	-0.27	-0.11
-0.07	-0.08	-0.23
-0.81	0.43	-0.15
0.04	0.18	0.26
-0.26	-0.93	-0.23
0.05	-0.25	-0.00
-0.10	0.15	0.04
0.13	0.17	-0.03
-0.73	-0.13	-0.63
-0.78	0.08	-0.66
-0.88	-0.14	-0.25
-1.14	-0.26	-0.78
0.89	-0.02	0.62
-1.05	0.05	-1.49
0.65	0.08	0.75
0.88	0.07	0.48
-0.74	0.03	-0.30
-0.52	0.13	-0.82
-0.11	-0.01	-0.28
0.18	0.09	0.07
-0.22	0.07	-0.20
-0.42	-0.03	0.07
-0.50	0.18	-0.27
-0.45	0.02	-0.30
0.16	0.11	-0.03
0.46	-0.20	0.17
-0.01	-0.02	0.09
1.00	-0.19	0.69
-0.92	-0.04	-0.33
-0.40	-0.11	0.03
-0.61	0.05	-0.32
1.00	-0.11	0.36
-0.10	0.15	-0.07
0.15	0.22	0.17
0.84	-0.05	-0.00
-0.05	0.05	-0.14
0.50	0.10	-0.31
-0.19	-0.08	-0.25
0.35	-0.31	-0.06
1.00	-0.04	0.17
-0.27	0.23	0.01
-0.20	0.17	-0.18
0.04	0.09	-0.05
0.00	0.02	-0.00
-0.00	0.02	-0.01
0.00	0.01	-0.01
-0.00	0.01	-0.01
0.01	0.02	-0.00
-0.00	0.01	-0.01
0.00	0.02	-0.00
-0.00	0.02	-0.01
-0.00	0.02	-0.02
0.01	0.01	-0.00
0.00	0.02	-0.01
-0.00	0.02	-0.01
0.01	0.01	0.00
0.00	0.02	-0.00
0.04	0.10	-0.07
0.84	-0.20	0.71
0.54	0.03	0.52
0.54	0.03	0.52
-0.69	0.10	-0.11
-0.21	0.19	0.18
0.06	-0.08	0.15
0.12	-0.24	0.13
-0.30	-0.14	-0.09
0.02	-0.04	-0.12
0.08	-0.15	0.21
0.12	-0.14	0.23
0.08	0.08	0.14
0.00	0.00	-0.00
0.00	0.00	0.00
0.00	0.01	-0.01
-0.00	-0.00	-0.01
-0.00	0.00	-0.02
-0.00	0.00	-0.00
0.00	0.00	-0.00
-0.00	0.00	-0.00
-0.00	0.01	-0.01
0.00	0.01	-0.00
0.01	0.00	0.00
0.00	0.01	-0.00
-0.00	0.01	-0.00
-0.00	0.01	-0.01
